英语名,星级,武器类型,元素类型,体型,生月,国家,神之眼
Albedo,5,Sword,Geo,BY,9,Mondstadt,1
Alhaitham,5,Sword,Dendro,AM,2,Sumeru,1
Aloy,5,Bow,Cryo,GL,4,Horizon,1
Amber,4,Bow,Pyro,GL,8,Mondstadt,1
Arataki_Itto,5,Claymore,Geo,AM,6,Inazuma,1
Baizhu,5,Catalyst,Dendro,AM,4,Liyue,1
Barbara,4,Catalyst,Hydro,GL,7,Mondstadt,1
Beidou,4,Claymore,Electro,AW,2,Liyue,1
Bennett,4,Sword,Pyro,BY,2,Mondstadt,1
Candace,4,Polearm,Hydro,AW,5,Sumeru,1
Charlotte,4,Catalyst,Cryo,GL,4,Fontaine,1
Chevreuse,4,Polearm,Pyro,GL,1,Fontaine,1
Chongyun,4,Claymore,Cryo,BY,9,Liyue,1
Collei,4,Bow,Dendro,GL,5,Sumeru,1
Cyno,5,Polearm,Electro,BY,6,Sumeru,1
Dehya,5,Claymore,Pyro,AW,4,Sumeru,1
Diluc,5,Claymore,Pyro,AM,4,Mondstadt,1
Diona,4,Bow,Cryo,LL,1,Mondstadt,1
Dori,4,Claymore,Electro,LL,12,Sumeru,1
Eula,5,Claymore,Cryo,AW,10,Mondstadt,1
Faruzan,4,Bow,Anemo,GL,8,Sumeru,1
Fischl,4,Bow,Electro,GL,5,Mondstadt,1
Freminet,4,Claymore,Cryo,BY,9,Fontaine,1
Furina,5,Sword,Hydro,GL,10,Fontaine,1
Gaming,4,Claymore,Pyro,BY,12,Liyue,1
Ganyu,5,Bow,Cryo,GL,12,Liyue,1
Chiori,5,Sword,Geo,GL,8,Inazuma,1
Gorou,4,Bow,Geo,BY,5,Inazuma,1
Hu_Tao,5,Polearm,Pyro,GL,7,Liyue,1
Jean,5,Sword,Anemo,AW,3,Mondstadt,1
Kaedehara_Kazuha,5,Sword,Anemo,BY,10,Inazuma,1
Kaeya,4,Sword,Cryo,AM,11,Mondstadt,1
Kamisato_Ayaka,5,Sword,Cryo,AM,3,Inazuma,1
Kamisato_Ayato,5,Sword,Hydro,GL,9,Inazuma,1
Kaveh,4,Claymore,Dendro,AM,7,Sumeru,1
Keqing,5,Sword,Electro,GL,11,Liyue,1
Kirara,4,Sword,Dendro,GL,1,Inazuma,1
Klee,5,Catalyst,Pyro,LL,7,Mondstadt,1
Kujou_Sara,4,Bow,Electro,AW,7,Inazuma,1
Kuki_Shinobu,4,Sword,Electro,GL,7,Inazuma,1
Layla,4,Sword,Cryo,GL,12,Sumeru,1
Lisa,4,Catalyst,Electro,AW,6,Mondstadt,1
Lynette,4,Sword,Anemo,GL,2,Fontaine,1
Lyney,5,Bow,Pyro,BY,2,Fontaine,1
Mika,4,Polearm,Cryo,BY,8,Mondstadt,1
Mona,5,Catalyst,Hydro,GL,8,Mondstadt,1
Nahida,5,Catalyst,Dendro,LL,10,Sumeru,0
Navia,5,Claymore,Geo,AW,8,Fontaine,1
Neuvillette,5,Catalyst,Hydro,AM,12,Fontaine,0
Nilou,5,Sword,Hydro,GL,12,Sumeru,1
Ningguang,4,Catalyst,Geo,AW,8,Liyue,1
Noelle,4,Claymore,Geo,GL,3,Mondstadt,1
Qiqi,5,Sword,Cryo,LL,3,Liyue,1
Raiden_Shogun,5,Polearm,Electro,AW,6,Inazuma,0
Razor,4,Claymore,Electro,BY,9,Mondstadt,1
Rosaria,4,Polearm,Cryo,AW,1,Mondstadt,1
Sangonomiya_Kokomi,5,Catalyst,Hydro,GL,2,Inazuma,1
Sayu,4,Claymore,Anemo,LL,10,Inazuma,1
Shenhe,5,Polearm,Cryo,AW,3,Liyue,1
Shikanoin_Heizou,4,Catalyst,Anemo,BY,7,Inazuma,1
Sucrose,4,Catalyst,Anemo,GL,11,Mondstadt,1
Tartaglia,5,Bow,Hydro,AM,7,Snezhnaya,1
Thoma,4,Polearm,Pyro,AM,1,Mondstadt,1
Tighnari,5,Bow,Dendro,BY,12,Sumeru,1
Traveler,5,Sword,Multi,GL,1,Khaenriah,1
Venti,5,Bow,Anemo,BY,6,Mondstadt,0
Wanderer,5,Catalyst,Anemo,BY,1,Inazuma,1
Wriothesley,5,Catalyst,Cryo,AM,11,Fontaine,1
Xiangling,4,Polearm,Pyro,GL,11,Liyue,1
Xianyun,5,Catalyst,Anemo,AW,4,Liyue,1
Xiao,5,Polearm,Anemo,BY,4,Liyue,1
Xingqiu,4,Sword,Hydro,BY,10,Liyue,1
Xinyan,4,Claymore,Pyro,GL,10,Liyue,1
Yae_Miko,5,Catalyst,Electro,AW,6,Inazuma,1
Yanfei,4,Catalyst,Pyro,GL,7,Liyue,1
Yaoyao,4,Polearm,Dendro,LL,3,Liyue,1
Yelan,5,Bow,Hydro,AW,4,Liyue,1
Yoimiya,5,Bow,Pyro,GL,6,Inazuma,1
Yun_Jin,4,Polearm,Geo,GL,5,Liyue,1
Zhongli,5,Polearm,Geo,AM,12,Liyue,0
